OrderID,ClientOrderID,Instrument,Side,Status,Quantity,Price,Reason,TransitionTime
ord1,o1,Rose,2,0,100,100.00,,20240119-145812.337
ord2,o2,Rose,2,0,90,100.00,,20240119-145812.339
ord3,o3,Rose,2,0,90,100.00,,20240119-145812.339
ord4,o4,Orchid,1,0,200,100.00,,20240119-145812.339
ord5,o5,Rose,2,0,80,100.00,,20240119-145812.339
ord6,o6,Rose,2,0,100,200.00,,20240119-145812.339
ord7,o7,Rose,1,3,90,100.00,,20240119-145812.339
ord3,o3,Rose,2,2,90,100.00,,20240119-145812.339
ord7,o7,Rose,1,2,30,100.00,,20240119-145812.339
ord5,o5,Rose,2,2,30,100.00,,20240119-145812.340
ord8,o8,Rose,1,3,90,100.00,,20240119-145812.340
ord2,o2,Rose,2,2,90,100.00,,20240119-145812.340
ord8,o8,Rose,1,2,30,100.00,,20240119-145812.340
ord1,o1,Rose,2,2,30,100.00,,20240119-145812.340
